	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d
	L_Hip_Angle	L_Hip_Angle	L_Hip_Angle	L_Knee_Angle	L_Knee_Angle	L_Knee_Angle	R_Hip_Angle	R_Hip_Angle	R_Hip_Angle	R_Knee_Angle	R_Knee_Angle	R_Knee_Angle	Pelvis_Angle	Pelvis_Angle	Pelvis_Angle	Trunk_Angle	Trunk_Angle	Trunk_Angle	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	R_Knee_Moment	R_Knee_Moment	R_Knee_Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
28	2.359771	4.941500	8.928010	1.646068	-0.117593	8.797984	1.265843	6.400287	-0.281135	3.405634	-1.044464	-21.567507	-6.946765	0.818002	-2.861246	4.697583	-0.069633	-0.458091	-0.474518	-0.411873	0.647914	2.441016	2.120371	-1.562111
29	2.381606	4.941964	8.923985	1.622277	-0.111711	8.791343	1.270571	6.397792	-0.281834	3.407057	-1.037295	-21.563951	-6.948349	0.819888	-2.854611	4.686988	-0.080317	-0.463418	-0.379257	-0.471777	0.632326	2.473694	2.110028	-1.552683
30	2.404392	4.941388	8.921714	1.602186	-0.105907	8.784360	1.278726	6.394207	-0.283617	3.408136	-1.028851	-21.557114	-6.952662	0.821696	-2.848168	4.674725	-0.091289	-0.467350	-0.310109	-0.487081	0.618045	2.505435	2.099856	-1.542210
31	2.427683	4.939722	8.921749	1.587280	-0.100312	8.776846	1.290694	6.389622	-0.286858	3.408908	-1.019464	-21.546661	-6.960232	0.823352	-2.842077	4.660885	-0.102489	-0.469794	-0.229529	-0.455213	0.606533	2.537103	2.093729	-1.530889
32	2.450636	4.936969	8.924200	1.579190	-0.094920	8.768598	1.306181	6.383877	-0.292458	3.409702	-1.009280	-21.532024	-6.971303	0.824713	-2.836138	4.645656	-0.113806	-0.470778	-0.144160	-0.464267	0.597392	2.569276	2.094841	-1.519146
33	2.472381	4.933380	8.928692	1.579138	-0.089719	8.759135	1.324383	6.376549	-0.301651	3.410948	-0.998418	-21.512716	-6.985779	0.825344	-2.829714	4.629333	-0.125178	-0.470467	-0.093026	-0.475899	0.588278	2.602702	2.105654	-1.507816
34	2.492206	4.929507	8.934409	1.587754	-0.084657	8.747918	1.344494	6.367107	-0.316037	3.412948	-0.986935	-21.488401	-7.003420	0.824659	-2.821723	4.612276	-0.136494	-0.469101	-0.045847	-0.467611	0.580035	2.637456	2.124512	-1.497464
35	2.509770	4.926017	8.940215	1.604794	-0.079481	8.734568	1.365711	6.355061	-0.336853	3.415747	-0.974868	-21.459433	-7.023672	0.822042	-2.810981	4.594903	-0.147715	-0.466982	-0.016321	-0.458019	0.572223	2.671185	2.148894	-1.488496
36	2.525510	4.923584	8.945251	1.628962	-0.074307	8.718714	1.387484	6.340305	-0.364610	3.419361	-0.962301	-21.426771	-7.046076	0.817131	-2.796691	4.577645	-0.158887	-0.464495	-0.001813	-0.447985	0.564568	2.700323	2.175845	-1.481175
37	2.540227	4.922769	8.949034	1.658341	-0.069667	8.700380	1.409886	6.323267	-0.398735	3.423295	-0.949345	-21.391771	-7.070148	0.810043	-2.778839	4.560923	-0.170060	-0.462075	-0.002786	-0.433869	0.558044	2.720580	2.200057	-1.475009
